# name: Mammals
# attribute -- name: 哺乳類, description: 哺乳類の種類, precision: 2
# attribute -- name: 分類, description: 哺乳類の分類, precision: 2
# attribute -- name: 寿命, type: numeric, unit: 年, precision: 2
# attribute -- name: 身長, description: 動物の平均身長, unit: m, precision: 2
# attribute -- name: 体重, description: 動物の平均体重, type: numeric, unit: kg, precision: 2
# attribute -- name: 睡眠時間, description: 動物が24時間の中で眠る時間, type: numeric, unit: 時, precision: 2
# attribute -- name: 速度, description: 動物の平均速度, unit: km/h, precision: 2
# attribute -- name: 生息地
# attribute -- name: 食べ物
哺乳類,分類,寿命,身長,体重,睡眠時間,速度,生息地,食べ物
アフリカゾウ,長鼻類,70,4,6400,3,40,陸,植物
アジアゾウ,長鼻類,70,3,5000,4,40,陸,植物
オオクビワコウモリ,翼手類,19,0.1,0.02,20,40,陸,肉
バンドウイルカ,鯨類,25,3.5,635,5,37,海,肉
チーター,食肉類,14,1.5,50,12,110,陸,肉
チンパンジー,霊長類,40,1.5,68,10,,陸,両方
イエネコ,食肉類,16,0.8,4.5,12,50,陸,肉
ロバ,奇蹄類,40,1.2,187,3,50,陸,植物
キリン,偶蹄類,25,5,1100,2,50,陸,植物
ハイイロオオカミ,食肉類,16,1.6,80,13,64,陸,肉
ハイイロアザラシ,ひれあし類,30,2.1,275,6,19,両方,肉
ジリス,げっ歯類,9,0.3,0.1,15,19,陸,両方
ウマ,奇蹄類,25,1.5,521,3,69,陸,植物
ハツカネズミ,げっ歯類,3,0.1,0.03,12,13,陸,両方
ヒト,霊長類,80,1.9,80,8,45,陸,両方
ジャガー,食肉類,20,1.8,115,11,60,陸,肉
シャチ,鯨類,50,6.5,4000,,48,海,肉
ライオン,食肉類,15,2.5,250,20,80,陸,肉
北アメリカオポッサム,有袋類,5,0.5,5,19,,陸,両方
ココノオビアルマジロ,貧歯目,10,0.6,7,17,1,陸,肉
フクロウザル,霊長類,12,0.4,1,17,,陸,両方
パタスザル,霊長類,20,0.9,13,,55,陸,両方
ブタ,偶蹄類,10,1,192,8,18,陸,両方
プロングホーン,偶蹄類,10,0.9,70,,98,陸,植物
ウサギ,ウサギ目,5,0.5,3,11,56,陸,植物
アカギツネ,食肉類,7,0.8,5,10,48,陸,両方
ブチハイエナ,食肉類,25,0.9,70,18,64,陸,肉
